trial_id,crab_id,date,eds,day,pleopod_number,crab_eggs,adult_nicos,larval_nicos,nico_eggs,nemerteans
Autoinfection-001,ANT-GAV-001,04/05/2022,E,12,2,1256,16,5,8,3
Autoinfection-002,ANT-GAV-002,04/05/2022,D,12,2,979,1,0,0,1
Autoinfection-003,ANT-GAV-003,04/05/2022,D,14,2,1204,0,0,0,0
Autoinfection-004,ANT-GAV-004,04/05/2022,E,23,2,1034,0,1,6,1
Autoinfection-006,ANT-GAV-006,04/06/2022,E,18,2,1035,3,2,0,5
Autoinfection-007,ANT-GAV-007,04/06/2022,E,18,2,1072,0,0,0,0
Autoinfection-008,ANT-GAV-008,04/06/2022,I,33,2,1064,0,0,12,0
Autoinfection-009,ANT-GAV-009,04/06/2022,I,36,2,1005,0,1,4,6
Autoinfection-010,ANT-GAV-010,04/07/2022,G,27,2,1105,0,1,0,0
Autoinfection-011,ANT-GAV-012,04/07/2022,E,22,2,1075,0,0,27,1
Autoinfection-012,ANT-GAV-013,04/07/2022,E,21,2,984,0,0,1,0
Autoinfection-013,ANT-GAV-014,04/07/2022,I,35,2,1025,4,4,37,0
Autoinfection-014,ANT-GAV-015,04/07/2022,G,28,2,1082,1,0,17,0
Autoinfection-015,ANT-GAV-001,04/08/2022,E,15,2,1119,17,12,137,0
Autoinfection-016,ANT-GAV-002,04/08/2022,E,15,2,1056,2,0,4,0
Autoinfection-017,ANT-GAV-003,04/08/2022,E,17,2,1019,0,1,0,0
Autoinfection-018,ANT-GAV-004,04/08/2022,F,26,2,1052,0,0,2,3
Autoinfection-019,ANT-GAV-005,04/08/2022,B,3,2,1133,0,9,0,2
Autoinfection-020,ANT-GAV-006,04/09/2022,E,21,2,1115,4,2,13,7
Autoinfection-021,ANT-GAV-007,04/09/2022,E,21,2,1024,2,0,49,1
Autoinfection-022,ANT-GAV-008,04/09/2022,I,36,2,1001,0,0,5,1
Autoinfection-023,ANT-GAV-009,04/09/2022,J,39,2,1002,0,0,0,0
Autoinfection-024,ANT-GAV-010,04/10/2022,I,30,2,1022,0,0,8,0
Autoinfection-025,ANT-GAV-012,04/10/2022,F,25,2,1009,2,0,6,2
Autoinfection-026,ANT-GAV-013,04/10/2022,F,24,2,1085,1,0,15,0
Autoinfection-027,ANT-GAV-014,04/10/2022,J,38,2,1045,1,5,172,0
Autoinfection-028,ANT-GAV-015,04/10/2022,I,32,2,1027,2,0,83,0
Autoinfection-029,ANT-GAV-001,04/11/2022,E,18,2,1190,27,6,350,0
Autoinfection-030,ANT-GAV-002,04/11/2022,E,18,2,1060,7,0,118,0
Autoinfection-031,ANT-GAV-003,04/11/2022,E,20,2,1062,0,2,0,0
Autoinfection-032,ANT-GAV-004,04/11/2022,I,29,2,1061,0,19,12,0
Autoinfection-033,ANT-GAV-005,04/11/2022,C,6,2,1050,0,12,0,6
Autoinfection-034,ANT-GAV-006,04/12/2022,E,24,2,1027,2,0,17,0
Autoinfection-035,ANT-GAV-007,04/12/2022,F,24,2,1012,5,0,27,0
Autoinfection-036,ANT-GAV-008,04/12/2022,J,39,2,1015,0,4,11,0
Autoinfection-037,ANT-GAV-009,04/12/2022,K,42,2,1056,0,2,8,0
Autoinfection-038,ANT-GAV-010,04/13/2022,I,33,2,1074,0,0,12,0
Autoinfection-039,ANT-GAV-012,04/13/2022,G,28,2,851,0,0,38,0
Autoinfection-040,ANT-GAV-013,04/13/2022,G,27,2,1204,0,0,0,0
Autoinfection-041,ANT-GAV-014,04/13/2022,K,41,2,987,5,7,208,0
Autoinfection-042,ANT-GAV-015,04/13/2022,I,35,2,1094,5,0,34,1
Autoinfection-043,ANT-GAV-001,04/14/2022,E,21,2,993,26,0,345,0
Autoinfection-044,ANT-GAV-002,04/14/2022,F,21,2,1003,2,0,74,1
Autoinfection-045,ANT-GAV-003,04/14/2022,E,23,2,1042,1,0,8,0
Autoinfection-046,ANT-GAV-004,04/14/2022,I,31,2,1052,0,1,45,0
Autoinfection-047,ANT-GAV-005,04/14/2022,D,9,2,1017,0,15,0,0
Autoinfection-048,ANT-GAV-006,04/15/2022,F,27,2,584,4,0,78,1
Autoinfection-049,ANT-GAV-007,04/15/2022,G,27,2,1002,2,2,103,0
Autoinfection-050,ANT-GAV-008,04/15/2022,K,42,2,1094,0,2,10,0
Autoinfection-051,ANT-GAV-009,04/15/2022,M,45,,NA,2,2,22,0
Autoinfection-052,ANT-GAV-010,04/16/2022,I,36,2,1042,1,1,15,0
Autoinfection-053,ANT-GAV-012,04/16/2022,I,31,2,1125,1,0,69,1
Autoinfection-054,ANT-GAV-013,04/16/2022,I,30,2,1046,0,0,23,0
Autoinfection-055,ANT-GAV-014,04/16/2022,M,44,,NA,2 (alive),11,38,0
Autoinfection-056,ANT-GAV-015,04/16/2022,J,38,2,1003,1,0,37,0
Autoinfection-057,ANT-GAV-001,04/17/2022,F,24,2,1065,21,0,847,0
Autoinfection-058,ANT-GAV-002,04/17/2022,G,24,2,1041,5,0,312,0
